time, current_loop, loop_latency, logic_execution_time, conveyor_belt_engine_status(8), conveyor_belt_engine_mode(9), bottle_level_value(10), bottle_level_max(11), bottle_distance_to_filler_value(12), 
2025-01-10 03:24:10.613060, 1736450650600, 1812, 1, 1.0, 3.0, 0.0, 1.8, 0.0, 
2025-01-10 03:24:10.812299, 1736450650800, 2, 10, 1.0, 3.0, 0.0, 1.8, 19.0, 
2025-01-10 03:24:11.002046, 1736450651000, 0, 1, 1.0, 3.0, 0.0, 1.8, 18.5, 
2025-01-10 03:24:13.216140, 1736450651200, 5, 2002, 1.0, 3.0, 0.0, 1.8, 7.0, 
2025-01-10 03:24:13.217118, 1736450653200, 1816, 1, 1.0, 3.0, 0.0, 1.8, 7.0, 
2025-01-10 03:24:13.411391, 1736450653400, 1, 10, 1.0, 3.0, 0.0, 1.8, 6.0, 
2025-01-10 03:24:13.624546, 1736450653600, 4, 2, 1.0, 3.0, 0.0, 1.8, 5.0, 
2025-01-10 03:24:15.813882, 1736450653800, 0, 2005, 1.0, 3.0, 0.0, 1.8, 14.0, 
2025-01-10 03:24:15.814788, 1736450655800, 1814, 1, 1.0, 3.0, 0.0, 1.8, 14.0, 
2025-01-10 03:24:16.005234, 1736450656000, 0, 4, 1.0, 3.0, 0.0, 1.8, 13.5, 
2025-01-10 03:24:16.202685, 1736450656200, 0, 2, 1.0, 3.0, 0.0, 1.8, 12.5, 
2025-01-10 03:24:18.417469, 1736450656400, 1, 2007, 1.0, 3.0, 0.0, 1.8, 1.0, 
2025-01-10 03:24:18.418634, 1736450658400, 1818, 0, 1.0, 3.0, 0.0, 1.8, 1.0, 
2025-01-10 03:24:18.611512, 1736450658600, 1, 10, 1.0, 3.0, 0.0, 1.8, 0.0, 
2025-01-10 03:24:18.812314, 1736450658800, 0, 3, 1.0, 3.0, 0.0, 1.8, 19.0, 
2025-01-10 03:24:21.005713, 1736450659000, 1, 2003, 1.0, 3.0, 0.0, 1.8, 8.5, 
2025-01-10 03:24:21.020900, 1736450661000, 1807, 4, 1.0, 3.0, 0.0, 1.8, 8.0, 
2025-01-10 03:24:21.226316, 1736450661200, 1, 25, 1.0, 3.0, 0.0, 1.8, 7.0, 
2025-01-10 03:24:21.406423, 1736450661400, 1, 4, 1.0, 3.0, 0.0, 1.8, 6.5, 
2025-01-10 03:24:23.618206, 1736450661600, 0, 2009, 1.0, 3.0, 0.0, 1.8, 15.0, 
2025-01-10 03:24:23.620028, 1736450663600, 1819, 1, 1.0, 3.0, 0.0, 1.8, 15.0, 
2025-01-10 03:24:23.813635, 1736450663800, 1, 12, 1.0, 3.0, 0.0, 1.8, 14.0, 
2025-01-10 03:24:24.002513, 1736450664000, 0, 2, 1.0, 3.0, 0.0, 1.8, 13.5, 
2025-01-10 03:24:26.226623, 1736450664200, 0, 2006, 1.0, 3.0, 0.0, 1.8, 2.0, 
2025-01-10 03:24:26.228240, 1736450666200, 1827, 1, 1.0, 3.0, 0.0, 1.8, 2.0, 
2025-01-10 03:24:26.403520, 1736450666400, 1, 2, 1.0, 3.0, 0.0, 1.8, 1.5, 
2025-01-10 03:24:26.620980, 1736450666600, 0, 1, 1.0, 3.0, 0.02666666666666667, 1.8, 0.0, 
2025-01-10 03:24:28.814325, 1736450666800, 0, 2005, 1.0, 3.0, 0.0, 1.8, 9.0, 
2025-01-10 03:24:28.815469, 1736450668800, 1815, 0, 1.0, 3.0, 0.0, 1.8, 9.0, 
2025-01-10 03:24:29.026352, 1736450669000, 0, 26, 1.0, 3.0, 0.0, 1.8, 8.0, 
2025-01-10 03:24:29.201754, 1736450669200, 0, 1, 1.0, 3.0, 0.0, 1.8, 7.5, 
2025-01-10 03:24:31.413781, 1736450669400, 2, 2002, 1.0, 3.0, 0.0, 1.8, 16.0, 
2025-01-10 03:24:31.416059, 1736450671400, 1814, 2, 1.0, 3.0, 0.0, 1.8, 16.0, 
2025-01-10 03:24:31.610437, 1736450671600, 1, 9, 1.0, 3.0, 0.0, 1.8, 15.0, 
2025-01-10 03:24:31.812636, 1736450671800, 0, 3, 1.0, 3.0, 0.0, 1.8, 14.0, 
2025-01-10 03:24:34.020355, 1736450672000, 7, 2013, 1.0, 3.0, 0.0, 1.8, 3.0, 
2025-01-10 03:24:34.021808, 1736450674000, 1821, 1, 1.0, 3.0, 0.0, 1.8, 3.0, 
2025-01-10 03:24:34.214463, 1736450674200, 3, 11, 1.0, 3.0, 0.0, 1.8, 2.0, 
2025-01-10 03:24:34.417332, 1736450674400, 0, 6, 1.0, 3.0, 0.0, 1.8, 1.0, 
2025-01-10 03:24:36.608621, 1736450674600, 3, 2003, 1.0, 3.0, 0.0, 1.8, 10.0, 
2025-01-10 03:24:36.609596, 1736450676600, 1809, 0, 1.0, 3.0, 0.0, 1.8, 10.0, 
2025-01-10 03:24:36.808042, 1736450676800, 0, 7, 1.0, 3.0, 0.0, 1.8, 9.5, 
2025-01-10 03:24:37.002843, 1736450677000, 0, 2, 1.0, 3.0, 0.0, 1.8, 8.5, 
2025-01-10 03:24:39.217697, 1736450677200, 1, 2007, 1.0, 3.0, 0.0, 1.8, 17.0, 
2025-01-10 03:24:39.218978, 1736450679200, 1818, 1, 1.0, 3.0, 0.0, 1.8, 17.0, 
2025-01-10 03:24:39.404872, 1736450679400, 1, 2, 1.0, 3.0, 0.0, 1.8, 16.5, 
2025-01-10 03:24:39.614830, 1736450679600, 3, 3, 1.0, 3.0, 0.0, 1.8, 15.0, 
2025-01-10 03:24:41.811136, 1736450679800, 5, 2002, 1.0, 3.0, 0.0, 1.8, 4.0, 
2025-01-10 03:24:41.812595, 1736450681800, 1811, 1, 1.0, 3.0, 0.0, 1.8, 4.0, 
2025-01-10 03:24:42.007002, 1736450682000, 1, 5, 1.0, 3.0, 0.0, 1.8, 3.5, 
2025-01-10 03:24:42.215225, 1736450682200, 0, 7, 1.0, 3.0, 0.0, 1.8, 2.0, 
2025-01-10 03:24:44.412492, 1736450682400, 1, 2008, 1.0, 3.0, 0.0, 1.8, 11.5, 
2025-01-10 03:24:44.413804, 1736450684400, 1813, 1, 1.0, 3.0, 0.0, 1.8, 11.5, 
2025-01-10 03:24:44.613262, 1736450684600, 1, 12, 1.0, 3.0, 0.0, 1.8, 10.0, 
2025-01-10 03:24:44.802620, 1736450684800, 0, 2, 1.0, 3.0, 0.0, 1.8, 9.5, 
2025-01-10 03:24:47.006365, 1736450685000, 1, 2005, 1.0, 3.0, 0.0, 1.8, 18.5, 
2025-01-10 03:24:47.008136, 1736450687000, 1807, 1, 1.0, 3.0, 0.0, 1.8, 18.5, 
2025-01-10 03:24:47.214559, 1736450687200, 1, 13, 1.0, 3.0, 0.0, 1.8, 17.0, 
2025-01-10 03:24:47.423473, 1736450687400, 2, 2, 1.0, 3.0, 0.0, 1.8, 16.0, 
2025-01-10 03:24:49.609403, 1736450687600, 0, 2005, 1.0, 3.0, 0.0, 1.8, 5.0, 
2025-01-10 03:24:49.610395, 1736450689600, 1810, 0, 1.0, 3.0, 0.0, 1.8, 5.0, 
2025-01-10 03:24:49.817259, 1736450689800, 0, 17, 1.0, 3.0, 0.0, 1.8, 4.0, 
2025-01-10 03:24:50.004988, 1736450690000, 3, 1, 1.0, 3.0, 0.0, 1.8, 3.5, 
2025-01-10 03:24:52.208416, 1736450690200, 4, 2003, 1.0, 3.0, 0.0, 1.8, 12.0, 
2025-01-10 03:24:52.209355, 1736450692200, 1809, 0, 1.0, 3.0, 0.0, 1.8, 12.0, 
